nomecategoria,objetofoco,descricaoregra
Nomenclatura de Objetos,Procedure,"Na Procedure definir uma área de identificação geral, onde deverão existir"
Nomenclatura de Objetos,Procedure,mesmas regras utilizadas para nomeação de colunas.
Nomenclatura de Objetos,Procedure,"Para variáveis que não são nomes de colunas, deve-se colocar o @ e seguir as"
Nomenclatura de Objetos,Procedure,"colunas nas suas respectivas tabelas, deve ser igual ao nome da coluna antecedido"
Nomenclatura de Objetos,Procedure,Nas procedures de acesso à Internet os nomes das variáveis que são nomes de
Nomenclatura de Objetos,Procedure,"prefixo no nome da procedure, ou seja, só é usada pelas aplicações web."
Nomenclatura de Objetos,Procedure,"Quando a procedure for para acesso via internet, incluir a letra i, em minúsculo, como"
Nomenclatura de Objetos,Procedure,deve-se colocar no início do nome da procedure a palavra “Rpc”.
Nomenclatura de Objetos,Procedure,"Quando a procedure for de Habilitação e for executada em Veículo ou o contrário,"
Nomenclatura de Objetos,Procedure,do nome da procedure a palavra “Batch”.
Nomenclatura de Objetos,Procedure,"Quando a procedure for executada via processamento batch, deve-se colocar no início"
Nomenclatura de Objetos,Procedure,"dbvcen..Transacaobin920, dbinfracao..rnfCodRetornoS…"
Nomenclatura de Objetos,Procedure,"Outros Bancos: dbvcen..binConsultaVeiculoS_EV02,"
Nomenclatura de Objetos,Procedure,"Banco RENAVAM: DetranResp206, PartResp206, rnvDetranResp206..."
Nomenclatura de Objetos,Procedure,parte de um desses projetos.
Nomenclatura de Objetos,Procedure,"mas se for em outro banco, só se houver algum termo que indique que a procedure faz"
Nomenclatura de Objetos,Procedure,"iguais aos já existentes. Se for no banco RENAVAM todos os padrões serão mantidos,"
Nomenclatura de Objetos,Procedure,"No sistema de Veículos, os nomes das procedures RENAVAM e RENAINF ficarão"
Nomenclatura de Objetos,Procedure,As procedures usadas pela FISEPE (SEFAZ) irão iniciar com as letras “FI” (maiúsculo).
Nomenclatura de Objetos,Procedure,procedures já existentes do RENACH.
Nomenclatura de Objetos,Procedure,No sistema de Habilitação as procedures de envio do RENACH ficarão iguais às
Nomenclatura de Objetos,Procedure,regra sendo a primeira letra maiúscula e as demais minúsculas.
Nomenclatura de Objetos,Procedure,"Siglas como IPVA, CNPJ, CNH, FEBRABAM, AutoOperacao_, obedecerá a mesma"
Nomenclatura de Objetos,Procedure,ApreensaoVeiculoGerar
Nomenclatura de Objetos,Procedure,Objetivo[Complemento]Operação.
Nomenclatura de Objetos,Procedure,nome do verbo (operação) completo no infinitivo no fim do
Nomenclatura de Objetos,Procedure,"Se a operação efetuada não for uma das citadas anteriormente, deve-se utilizar o"
Nomenclatura de Objetos,Procedure,"Inserir (I), Excluir (E), Alterar (A), Relatório (R)."
Nomenclatura de Objetos,Procedure,"Operação: Usar sigla, em letra maiúscula, das operações básicas: Selecionar (S),"
Nomenclatura de Objetos,Procedure,"procedure, acrescenta-se um complemento / descrição para melhor definição da"
Nomenclatura de Objetos,Procedure,Complemento: Opcional. Caso o objetivo não seja suficiente para traduzir a função da
Nomenclatura de Objetos,Procedure,"inserir? Neste caso, muitas vezes coincidirá com o nome da tabela."
Nomenclatura de Objetos,Procedure,Objetivo: Usar substantivo que responda às perguntas: O que selecionar? O que
Nomenclatura de Objetos,Procedure,"Nome de procedure: Objetivo[Complemento]Operacao,"
Nomenclatura de Objetos,Coluna,sequencial no final do nome do “índice”.
Nomenclatura de Objetos,Coluna,"Quando existir mais de um “índice” com o mesmo campo, deve-se usar um número"
Nomenclatura de Objetos,Coluna,índice. Usar abreviações se o nome do campo for muito grande.
Nomenclatura de Objetos,Coluna,Nome da tabela mais underline seguido do nome da primeira coluna que compõe o
Nomenclatura de Objetos,Coluna,vmProcessoUsuario
Nomenclatura de Objetos,Coluna,melhor definição da mesma.
Nomenclatura de Objetos,Coluna,view materializada acrescenta-se um complemento / descrição para
Nomenclatura de Objetos,Coluna,Opcional. Caso o objetivo não seja suficiente para traduzir a função da
Nomenclatura de Objetos,Coluna,Muitas vezes coincidirá com o nome da tabela.
Nomenclatura de Objetos,Coluna,Objetivo: Usar substantivo que responda a pergunta: O que selecionar?
Nomenclatura de Objetos,Coluna,vm: prefixo que identifica uma view materializada.
Nomenclatura de Objetos,Coluna,View Materializada também deve utilizar a semântica das tabelas.
Nomenclatura de Objetos,Coluna,materializadas deve ser prefixada a palavra “vw” seguido do nome da tabela.
Nomenclatura de Objetos,Coluna,Deve-se usar a mesma semântica utilizada para as tabelas. Para views não
Nomenclatura de Objetos,Coluna,DELETE efetuados na view.
Nomenclatura de Objetos,Coluna,"view não devem ser atualizadas indiretamente, via comandos de INSERT, UPDATE e"
Nomenclatura de Objetos,Coluna,Views devem ser utilizadas somente para consultas. As tabelas envolvidas em uma
Nomenclatura de Objetos,Coluna,e/ou a informações já consolidadas.
Nomenclatura de Objetos,Coluna,para conceder aos usuários permissão de acesso somente a determinados atributos
Nomenclatura de Objetos,Coluna,"Views também podem ser adotadas por questões de segurança, como um instrumento"
Nomenclatura de Objetos,Coluna,não na sua execução.
Nomenclatura de Objetos,Coluna,"consulta, pois o comando SELECT é interpretado no momento de criação da view, e"
Nomenclatura de Objetos,Coluna,mais transações do sistema. O uso de view pode melhorar o tempo de resposta da
Nomenclatura de Objetos,Coluna,cujo formato de saída dos dados selecionados seja considerado padrão para uma ou
Nomenclatura de Objetos,Coluna,"Views podem ser adotadas para queries complexas, envolvendo mais de uma tabela,"
Nomenclatura de Objetos,Coluna,3.5 Nome de View:
Nomenclatura de Objetos,Coluna,Check: Usar o prefixo “chk” mais o nome da tabela mais o nome da coluna.
Nomenclatura de Objetos,Coluna,Unique: Usar o prefixo “u” mais o nome da tabela mais o nome da coluna.
Nomenclatura de Objetos,Coluna,fkProcessoUsuario
Nomenclatura de Objetos,Coluna,Foreign key: Usar o prefixo “fk” mais os nomes das tabelas filha e pai.
Nomenclatura de Objetos,Coluna,Primary key: Usar o prefixo “pk” mais o nome da tabela.
Nomenclatura de Objetos,Coluna,3.4 Nomes de Constraints:
Nomenclatura de Objetos,Coluna,sequencial no final do nome da “fk”.
Nomenclatura de Objetos,Coluna,"Quando existir mais de uma “fk” para a mesma tabela pai, deve-se usar um número"
Nomenclatura de Objetos,Coluna,sPlaca (ak) (*ak - alternate key) sPlacaVeiculo (fk)
Nomenclatura de Objetos,Coluna,da tabela-pai ao nome do campo.
Nomenclatura de Objetos,Coluna,"Se o campo não for chave primária na tabela de origem, deve-se acrescentar o nome"
Nomenclatura de Objetos,Coluna,nVeiculo (pk) nProcesso (pk)
Nomenclatura de Objetos,Coluna,Utilização do nome do campo da Tabela Pai (nome de origem);
Nomenclatura de Objetos,Coluna,3.3.3 Chaves Estrangeiras (fk):
Nomenclatura de Objetos,Coluna,"nTaxa (pk),(fk)"
Nomenclatura de Objetos,Coluna,"sServico (pk) sServico (pk),(fk) nTaxa (pk)"
Nomenclatura de Objetos,Coluna,Esses campos serão ao mesmo tempo chaves primárias e estrangeiras;
Nomenclatura de Objetos,Coluna,primária devem ser mantidos dos campos que foram trazidos das tabelas de origem.
Nomenclatura de Objetos,Coluna,"Quando a tabela for de relacionamento, os nomes dos campos que compõem a chave"
Nomenclatura de Objetos,Coluna,"Se a chave primária for um número seqüencial, deve-se utilizar o nome da tabela"
Nomenclatura de Objetos,Coluna,Chave Primária composta ➡ AnoOficio / NumOficio
Nomenclatura de Objetos,Coluna,Tabela ➡ Oficio
Nomenclatura de Objetos,Coluna,Chave Primária ➡ nCpfProfissional
Nomenclatura de Objetos,Coluna,Tabela ➡ Profissional
Nomenclatura de Objetos,Coluna,do nome da tabela;
Nomenclatura de Objetos,Coluna,"Utilização dos atributos considerados identificadores naturais das tabelas, acrescidos"
Nomenclatura de Objetos,Coluna,3.3.2 Chaves Primárias (pk):
Nomenclatura de Objetos,Coluna,"Se o campo for um identificador, deve-se colocar na segunda posição a letra “i” em"
Nomenclatura de Objetos,Coluna,"char, varchar s"
Nomenclatura de Objetos,Coluna,"float, real, double precision"
Nomenclatura de Objetos,Coluna,"numeric, int, smallint, n"
Nomenclatura de Objetos,Coluna,"money, smallmoney m"
Nomenclatura de Objetos,Coluna,"text, image, binary, long I"
Nomenclatura de Objetos,Coluna,"smalldatetime,bigdatetime,"
Nomenclatura de Objetos,Coluna,Tipo do Dado Sigla do Tipo
Nomenclatura de Objetos,Coluna,3.3.1 Tipo de Dado:
Nomenclatura de Objetos,Coluna,Usuario(nCpf) ➡ LogUsuario(nCpf)
Nomenclatura de Objetos,Coluna,deverá seguir o padrão já existente.
Nomenclatura de Objetos,Coluna,das colunas que não existam na tabela do sistema a nomenclatura dessas colunas
Nomenclatura de Objetos,Coluna,constituição dos nomes das suas colunas idênticas aos da tabela já existente. No caso
Nomenclatura de Objetos,Coluna,As tabelas de Log que são uma réplica de uma tabela do sistema já existente terão a
Nomenclatura de Objetos,Coluna,colunas que serão usadas como passagem de parâmetros deverão iniciar seu nome
Nomenclatura de Objetos,Coluna,No caso das tabelas que possuem procedures ligadas a elas (external procedure) as
Nomenclatura de Objetos,Coluna,sChassi (Sistemas em Bancos Novos)
Nomenclatura de Objetos,Coluna,"entanto, todas as outras regras de padronização devem ser seguidas conforme o"
Nomenclatura de Objetos,Coluna,"necessidade de desenvolver um sistema que use um novo banco de dados), no"
Nomenclatura de Objetos,Coluna,não utilizarão o tipo do dado na frente do nome da coluna (exceto se houver a
Nomenclatura de Objetos,Coluna,Os sistemas de Veículos e os sistemas da equipe de Infrações referentes a veículos
Nomenclatura de Objetos,Coluna,primeira letra maiúscula e as demais minúsculas.
Nomenclatura de Objetos,Coluna,"Siglas como IPVA, CNPJ, CNH, FEBRABAN obedecerá a mesma regra sendo a"
Nomenclatura de Objetos,Coluna,O nome da coluna deve ser o mais próximo possível do seu objetivo / significado.
Nomenclatura de Objetos,Coluna,nome identificador da coluna com o 1º caracter de cada termo em maiúsculo;
Nomenclatura de Objetos,Coluna,"Na primeira posição deve-se utilizar, em letra minúscula, o tipo do dado, seguido pelo"
Nomenclatura de Objetos,Coluna,tabela de maneira clara e descritiva.
Nomenclatura de Objetos,Coluna,"Seguindo o mesmo padrão utilizado para tabelas, deve-se identificar a coluna da"
Nomenclatura de Objetos,Tabela,px<Origem><NomeDoObjeto>
Nomenclatura de Objetos,Tabela,estivessem no banco local. Sua nomenclatura deverá ser composta por
Nomenclatura de Objetos,Tabela,"permite acessar dados que estão em outro banco de dados ou servidor, como se"
Nomenclatura de Objetos,Tabela,Tabela do tipo Proxy: As Proxy tables são tabelas “espelho” ou de referência que
Nomenclatura de Objetos,Tabela,procedure não afeta apenas uma tabela)
Nomenclatura de Objetos,Tabela,"procedure (não podemos colocar o nome da tabela, pois normalmente esse tipo de"
Nomenclatura de Objetos,Tabela,O nome da procedure deve ser composto da seguinte forma: z + login + objetivo da
Nomenclatura de Objetos,Tabela,nomenclatura deverá ser composta com a letra “z” no início + login do criador + nome
Nomenclatura de Objetos,Tabela,Tabela do tipo “z”: São tabelas que serão excluídas do banco de dados. Sua
Nomenclatura de Objetos,Tabela,será excluído pela própria aplicação.
Nomenclatura de Objetos,Tabela,"Tabela temporária(tmp): É uma tabela que é usada de forma auxiliar, cujo conteúdo"
Nomenclatura de Objetos,Tabela,Obs.: Tabelas de Log não terão chave estrangeira (fk) no entanto terão chave
Nomenclatura de Objetos,Tabela,"Quando a tabela for de Log, deve-se usar o nome da tabela antecedida do termo"
Nomenclatura de Objetos,Tabela,da letra maiúscula no início de cada elemento do nome.
Nomenclatura de Objetos,Tabela,nomenclatura vamos utilizar uma versão adaptada desta notação que é o uso
Nomenclatura de Objetos,Tabela,sua origem na codificação de programas. Para o nosso padrão de
Nomenclatura de Objetos,Tabela,nomenclatura através do uso de letras maiúsculas e letras minúsculas. Tem a
Nomenclatura de Objetos,Tabela,Obs.: Notação Húngara é a diferenciação dos elementos de uma dada
Nomenclatura de Objetos,Tabela,primeira letra maiúscula e as demais minúsculas.
Nomenclatura de Objetos,Tabela,"Siglas como IPVA, CNPJ, CNH, FEBRABAN obedecerá a mesma regra sendo a"
Nomenclatura de Objetos,Tabela,"maiúscula, notação húngara;"
Nomenclatura de Objetos,Tabela,"maiúscula, demais em minúsculas. Para cada palavra interna, primeira letra em"
Nomenclatura de Objetos,Tabela,"Utilização do 1º caracter de cada termo em maiúsculo, ou seja, primeira letra em"
Nomenclatura de Objetos,Tabela,"Obs.: Não utilizar id, cod ou semelhante na chave identificadora."
Nomenclatura de Objetos,Tabela,O campo identificador / Chave-Primária deve ser referente ao nome da tabela;
Nomenclatura de Objetos,Tabela,composto pelos nomes das entidades relacionadas;
Nomenclatura de Objetos,Tabela,"Quando a tabela for derivada de relacionamento N:N, o seu nome deverá ser"
Nomenclatura de Objetos,Tabela,deve estar sempre no singular;
Nomenclatura de Objetos,Tabela,"conteúdo, isto significa que seu nome então deverá ser Feriado; O nome da tabela"
Nomenclatura de Objetos,Tabela,"uma tabela de feriados, esta tabela deve ser nomeada identificando claramente seu"
Nomenclatura de Objetos,Tabela,"orientado a objeto, por exemplo: se no departamento financeiro for necessário manter"
Nomenclatura de Objetos,Tabela,O nome de uma tabela deverá ser sugestivo. Deve-se fazer o uso de nomenclatura
Nomenclatura de Objetos,Tabela,ControleLicencaBiometriaCreden
Nomenclatura de Objetos,Tabela,ControleLicencaBioCredenciado
Nomenclatura de Objetos,Tabela,abreviados sem perder a coerência do entendimento;
Nomenclatura de Objetos,Tabela,"caracteres que o SGBD impõe (30 caracteres). Neste caso, os termos devem ser"
Nomenclatura de Objetos,Tabela,excetuando-se quando isto não for possível devido à limitação da quantidade de
Nomenclatura de Objetos,Tabela,"Utilização dos nomes completos dos termos que compõem o nome da tabela,"
Nomenclatura de Objetos,Banco,nn define um seqüencial.
Nomenclatura de Objetos,Banco,"aaaaa define a área, o negócio (até 5 posições);"
Nomenclatura de Objetos,Banco,Onde: db define que é uma database;
Nomenclatura de Objetos,Banco,"Nome do banco: dbaaaaann,"
Nomenclatura de Objetos,Banco,ou deverá refletir a sigla da aplicação.
Nomenclatura de Objetos,Banco,O nome do banco de dados deverá identificar o negócio que está sendo automatizado
Regras Gerais,Geral/Nenhum,"Siglas oficiais: primeira letra maiúscula e demais minúsculas (Ex.: Ipva, Cnh)."
Regras Gerais,Geral/Nenhum,"Máximo de 30 caracteres (se ultrapassar, usar abreviações coerentes)."
Regras Gerais,Geral/Nenhum,"Evitar preposições (Ex.: “de”, “da”, “do”)."
Regras Gerais,Geral/Nenhum,Primeira letra de cada palavra maiúscula (Ex.: ParcelaDebito).
Regras Gerais,Geral/Nenhum,"Usar apenas letras (A–Z, a–z), números (0–9) e _ (underline)."
Boas Práticas,Geral/Nenhum,"Evitar NOT EXISTS, NOT IN e NOT LIKE. Usar EXISTS, IN e LIKE."
Boas Práticas,Geral/Nenhum,Evitar JOIN com mais de 4 tabelas (usar temporárias se necessário).
Boas Práticas,Geral/Nenhum,Preferencialmente não utilizar cursor.
Boas Práticas,Geral/Nenhum,"Integridade referencial deve ser via constraints (pk, Unique, pk)."
Boas Práticas,Geral/Nenhum,Todo comando sql deve ser feito via Stored Procedure (exceto update/insert de text/image).
NULL,Procedure,"Quando a procedure for de Habilitação e for executada em Veículo ou o contrário, deve-se colocar no início do nome da procedure a palavra “Rpc”."
NULL,Procedure,As procedures usadas pela FISEPE (SEFAZ) irão iniciar com as letras “FI” (maiúsculo).
NULL,Procedure,"Em se tratando de sistema de Veículos, os nomes dos procedimentos RENAVAM e RENAINF ficarão iguais aos já existentes. Caso sejam banco RENAVAM todos os padrões serão mantidos, mas caso sejam em outro banco, só se houver algum termo que indique que a procedure faz parte de um desses projetos."
Nomenclatura de Objetos,Trigger,"Prefixo tg + tabela + sigla evento (I, A, E)."
Nomenclatura de Objetos,Procedure,"Se acesso via internet, iniciar com i; as colunas irão iniciar com @."
Nomenclatura de Objetos,Procedure,"Se executada via batch, iniciar com Batch."
Nomenclatura de Objetos,Procedure,"Objetivo + Complemento + Operação (S, I, E, A, R)."
Nomenclatura de Objetos,Índice,Nome da tabela seguido do nome da primeira coluna do índice.
Nomenclatura de Objetos,View materializada,View que armazena dados fisicamente.
Nomenclatura de Objetos,View comum,View para consultas (SELECT apenas).
Nomenclatura de Objetos,Check,Restrição de checagem.
Nomenclatura de Objetos,Unique,Restrição de unicidade.
Nomenclatura de Objetos,fk (Foreign Key),Padrão para Foreign Key (FK): Usar o prefixo fk mais os nomes das tabelas filha e pai.
Nomenclatura de Objetos,pk (Primary Key),Chave primária natural ou sequencial.
Nomenclatura de Objetos,Coluna,Colunas usadas como parâmetro em procedures externas iniciam com underline.
Nomenclatura de Objetos,Coluna,"Prefixo minúsculo indicando o tipo, seguido do nome em notação húngara."
Nomenclatura de Objetos,Proxy Table,Tabelas espelho ou de referência externa.
Nomenclatura de Objetos,"Tabela ""z""",Tabelas que serão excluídas do banco de dados.
Nomenclatura de Objetos,Tabela Temp,Tabela temporária auxiliar.
Nomenclatura de Objetos,Tabela Log,Tabelas de log devem ter o prefixo Log.
Nomenclatura de Objetos,Tabela,"Nome no singular, claro, sem abreviação (exceto se >30 chars)."
Nomenclatura de Objetos,Banco,O nome do banco deve identificar o negócio ou a sigla da aplicação.
Regra especial,Geral/Nenhum,"Se acesso via internet, iniciar com ""i"", já as colunas serão nomeadas com ""@"" no início."
Regra especial,Geral/Nenhum,"Quando a procedure for de Habilitação e for executada em Veículo ou o contrário, deve-se colocar no início do nome da procedure a palavra “Rpc”."
Regra especial,Geral/Nenhum,As procedures usadas pela FISEPE (SEFAZ) irão iniciar com as letras “FI” (maiúsculo).
Regra especial,Geral/Nenhum,"Se executada via batch, iniciar com Batch."
Regra especial,Geral/Nenhum,"Em se tratando de sistema de Veículos, os nomes dos procedimentos RENAVAM e RENAINF ficarão iguais aos já existentes."
Regras Gerais,Geral/Nenhum,Siglas oficiais: primeira letra maiúscula e demais minúsculas.
Regras Gerais,Geral/Nenhum,"Não usar apenas números, verbos ou nomes próprios."
Regras Gerais,Geral/Nenhum,"Não usar palavras reservadas (INSERT, DELETE, SELECT...)."
Regras Gerais,Geral/Nenhum,"Tabelas devem ser nomeadas usando o máximo de 30 caracteres (se ultrapassar, usar abreviações coerentes)."
Regras Gerais,Geral/Nenhum,Tabelas temporárias (Tabela Temp) vai seguir as mesmas regras de nomenclatura aplicadas às tabelas
Regras Gerais,Geral/Nenhum,"Evitar preposições (Ex.: ""de"", ""da"", ""do"")."
Regras Gerais,Geral/Nenhum,"Usar nomes curtos, claros e sem ambiguidade."
Regras Gerais,Geral/Nenhum,Usar termos em português e no singular.
Regras Gerais,Geral/Nenhum,"Uso de Iniciais Maiúsculas em cada palavra [notação húngara.]""."
Regras Gerais,Geral/Nenhum,"Não usar caracteres especiais (#, @, %, $, !, *, +, -, /, =)."
Regras Gerais,Geral/Nenhum,"Não usar acentos, cedilha (ç), espaços."
Regras Gerais,Geral/Nenhum,"Usar apenas letras (A-Z, a-z), números (0-9) e _ (underline)."
